game_id,competition_id,competition_type,season,round,date,club id,club goals,opposite club id,opposite_club_goals,result,difference_goals
2498086,SFA,domestic_cup,2014,Second Round,10/4/14,8933,1,3015,2,loss,-1
2498088,SFA,domestic_cup,2014,Second Round,10/4/14,13677,0,3000,1,loss,-1
2498090,SFA,domestic_cup,2014,Second Round,10/4/14,24574,0,3031,1,loss,-1
2498079,SFA,domestic_cup,2014,Second Round,10/4/14,5751,2,3490,1,win,1
2498081,SFA,domestic_cup,2014,Second Round,10/4/14,3024,7,11964,0,win,7
2502702,SFA,domestic_cup,2014,First Round,9/13/14,10597,0,28457,1,loss,-1
2498087,SFA,domestic_cup,2014,Second Round,10/4/14,3028,0,3458,0,tie,0
2498089,SFA,domestic_cup,2014,Second Round,10/4/14,10580,0,8929,3,loss,-3
2498091,SFA,domestic_cup,2014,Second Round,10/4/14,23621,0,2575,3,loss,-3
2486422,SFA,domestic_cup,2014,First Round,9/13/14,23701,4,23620,2,win,2
2498078,SFA,domestic_cup,2014,Second Round,10/4/14,12886,2,6567,1,win,1
2486433,SFA,domestic_cup,2014,First Round,9/13/14,13677,3,25417,1,win,2
2498085,SFA,domestic_cup,2014,Second Round,10/4/14,3491,5,25442,0,win,5
2498083,SFA,domestic_cup,2014,Second Round,10/4/14,24232,7,23701,1,win,6
2502704,SFA,domestic_cup,2014,Second Round Replay,10/11/14,3458,1,3028,3,loss,-2
2502703,SFA,domestic_cup,2014,Second Round Replay,10/11/14,28457,1,17602,5,loss,-4
2502834,SFA,domestic_cup,2014,Second Round Replay,10/11/14,3030,1,3021,3,loss,-2
2498080,SFA,domestic_cup,2014,Second Round,10/4/14,3021,2,3030,2,tie,0
